ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.8959209919,2.2170569897,9.3079490662,0.1250105376,0.0515221095,2.1146344609,7.2840074381,113.7659885877,0,25.1333436966,2019-07-25 11:50:46:628
-1.9078947306,0.8879708052,9.2313175201,0.1082285281,0.1061302401,2.0642884657,10.4871258459,114.9627748449,0,25.1363065243,2019-07-25 11:50:46:631
2.1272585392,1.1226562262,9.2049751282,-0.0630545458,0.1370304572,2.0784066816,6.9098184153,116.1372475642,0,25.1399216652,2019-07-25 11:50:46:635
0.5060129762,3.0528244972,10.467007637,-0.0657183602,0.0483255339,2.1226259415,3.2182992161,117.1011043671,0,25.1431195736,2019-07-25 11:50:46:638
0.1204583049,3.2228517532,11.9685163498,0.0104666475,0.0459281063,2.1593864862,-0.4421015197,118.0559380412,0,25.1460540295,2019-07-25 11:50:46:641
3.9257156849,3.4766952991,9.0804481506,0.1084949108,0.0323426662,2.1623167623,-3.5726952283,118.8521973865,0,25.149929285,2019-07-25 11:50:46:645
-4.9659900665,1.7764229774,11.1135902405,0.2776469273,0.0155606547,2.0429779839,-0.3855771963,119.8436282317,0,25.1531298161,2019-07-25 11:50:46:648
5.2236700058,0.6868118048,10.088637352,-0.0817012299,-0.0654192123,2.2177239619,-3.4196561054,120.9822618094,0,25.1560502052,2019-07-25 11:50:46:651
-2.7987415791,3.8215391636,8.7212352753,0.2829745478,-0.069947693,2.0419124531,-0.0918605269,121.6277028333,0,25.1599311829,2019-07-25 11:50:46:655
-0.6171246171,0.2150461227,10.5292711258,-0.0603907355,-0.1021798068,2.2371698316,3.4612521804,122.7826002269,0,25.1631314754,2019-07-25 11:50:46:658
0.7311194539,3.122272253,8.0866270065,0.2134490824,0.0331418101,2.1074421949,-0.1101094618,123.4695551498,0,25.1660649776,2019-07-25 11:50:46:661
-5.2174386978,0.0162819028,11.4656181335,-0.113134204,-0.1059091478,2.1540588324,3.0257847787,124.6231602789,0,25.1699411869,2019-07-25 11:50:46:665
1.7752302885,0.2964676321,10.768746376,-0.2247479095,-0.0582269213,2.2374361477,-0.4370791118,125.7394204939,0,25.1731317043,2019-07-25 11:50:46:668
-0.2531226575,5.8714447021,6.8988308907,0.2800443715,0.0302116172,2.2028066646,3.1246537181,125.9704329838,0,25.1760692596,2019-07-25 11:50:46:671
-0.4111761153,0.8592337966,11.7266464233,-0.0473380587,-0.150128416,2.2547509558,6.6552876391,126.9777076591,0,25.180018425,2019-07-25 11:50:46:675
-0.7608096004,0.0953086466,9.74858284,0.0434979094,-0.0883279903,2.1828280296,10.0484056861,128.0193304677,0,25.1831383705,2019-07-25 11:50:46:678
0.0917213112,3.2467992306,9.3366861343,0.003007976,-0.0427768169,2.2401001077,6.2657249572,128.6749507591,0,25.1860654354,2019-07-25 11:50:46:681
-2.3485286236,3.8838026524,8.0435209274,0.1918722011,0.0445961971,2.2060032568,9.4051984968,129.1443364611,0,25.1899309158,2019-07-25 11:50:46:685
-4.3625130653,2.7965862751,8.8313941956,0.2427510116,-0.0057498371,2.2107980121,12.2923603347,129.766422002,0,25.1931300163,2019-07-25 11:50:46:688
4.1891379356,1.2304199934,10.5867452621,0.0312443765,0.1567426596,2.2129290736,8.8524888579,130.6333651768,0,25.1960608959,2019-07-25 11:50:46:691
-2.6718199253,1.5082110167,11.7170667648,0.0786602245,0.2057567912,2.2028066646,11.9737867466,131.456897659,0,25.1999337673,2019-07-25 11:50:46:695
-0.7919413447,0.6293378472,12.8785209656,-0.1152652489,0.1274407387,2.2971056035,15.2410227987,132.3925284396,0,25.2031354904,2019-07-25 11:50:46:698
-0.3058071434,1.2998677492,12.8473892212,0.1463210278,0.0571161127,2.1924178063,18.4995148637,133.205007193,0,25.2060716152,2019-07-25 11:50:46:701
