,Left,Middle,Right
43,Y Gyro 35.4 Hz,Z Accel 29.3 Hz,X Gyro 35.4 Hz
44,X Gyro 35.4 Hz,Y Accel 26.3 Hz,Z Accel 35.4 Hz
45,Z Accel 35.4 Hz,X Accel 100.0 Hz,X Accel 35.4 Hz
46,Z Accel 32.3 Hz,Y Accel 21.2 Hz,Z Gyro 34.3 Hz
47,Y Gyro 37.4 Hz,Y Accel 41.4 Hz,Y Gyro 34.3 Hz
48,X Accel 2.0 Hz,X Accel 90.9 Hz,Z Accel 32.3 Hz
49,X Accel 32.3 Hz,Y Accel 24.2 Hz,X Accel 37.4 Hz
50,Z Gyro 27.3 Hz,Y Accel 25.3 Hz,Y Accel 2.0 Hz
51,X Gyro 27.3 Hz,X Accel 20.2 Hz,X Accel 32.3 Hz
52,Y Gyro 28.3 Hz,X Accel 54.5 Hz,X Accel 28.3 Hz
53,X Gyro 28.3 Hz,X Accel 88.9 Hz,Z Accel 28.3 Hz
54,Z Accel 28.3 Hz,Z Accel 33.3 Hz,Z Gyro 27.3 Hz
55,Y Accel 28.3 Hz,X Accel 89.9 Hz,X Gyro 27.3 Hz
56,X Accel 28.3 Hz,X Accel 57.6 Hz,Y Accel 28.3 Hz
57,Y Accel 2.0 Hz,X Accel 0.0 Hz,Z Accel 27.3 Hz
58,X Accel 29.3 Hz,Y Accel 22.2 Hz,X Gyro 28.3 Hz
59,Y Gyro 27.3 Hz,X Accel 50.5 Hz,Y Gyro 27.3 Hz
60,Y Accel 29.3 Hz,X Accel 83.8 Hz,Z Gyro 28.3 Hz
61,Z Accel 27.3 Hz,X Accel 45.5 Hz,X Gyro 26.3 Hz
62,X Accel 27.3 Hz,Z Accel 15.2 Hz,Z Gyro 26.3 Hz
63,Z Gyro 26.3 Hz,X Accel 56.6 Hz,Z Accel 26.3 Hz
64,Y Gyro 26.3 Hz,X Accel 46.5 Hz,X Accel 29.3 Hz
65,X Gyro 26.3 Hz,Y Accel 23.2 Hz,Y Gyro 26.3 Hz
66,Z Gyro 28.3 Hz,X Accel 85.9 Hz,Y Accel 27.3 Hz
67,Z Gyro 31.3 Hz,Z Accel 50.5 Hz,X Accel 27.3 Hz
68,Y Gyro 30.3 Hz,X Accel 86.9 Hz,Y Gyro 28.3 Hz
69,Z Accel 30.3 Hz,X Accel 84.8 Hz,Z Gyro 31.3 Hz
70,X Gyro 31.3 Hz,Z Accel 45.5 Hz,X Accel 31.3 Hz
71,Z Accel 31.3 Hz,X Accel 82.8 Hz,Z Accel 31.3 Hz
72,Y Accel 31.3 Hz,X Accel 51.5 Hz,Z Gyro 38.4 Hz
73,X Accel 31.3 Hz,X Accel 52.5 Hz,X Gyro 30.3 Hz
74,Z Gyro 30.3 Hz,X Accel 81.8 Hz,Y Accel 31.3 Hz
