Vector,Naive Bayes,k Nearest,Decision Tree,Random Forest,AdaBoost,Support Vector Machine
Synthesis PSDLogs X Accel,0.2881405428317567,0.38867833619222497,0.3766624638382615,0.4483062570291173,0.41516669735621636,0.4157822531939387
Synthesis PSDLogs Y Accel,0.509779096152936,0.5452100484926121,0.4809429610120898,0.574829540245557,0.4634520729970852,0.579299984647416
Synthesis PSDLogs Z Accel,0.5660003364136895,0.5814241387911065,0.5135796493769709,0.6038337104321511,0.5123496465860179,0.6119365636856571
Synthesis PSDLogs X Gyro,0.35453233108916976,0.41270776942261944,0.3819152340581846,0.46546340204825026,0.3530788177916925,0.4557390473057933
Synthesis PSDLogs Y Gyro,0.32278949733328893,0.3748180765664438,0.3586673925955566,0.43042376098947477,0.3446968067718795,0.4147763387788933
Synthesis PSDLogs Z Gyro,0.3169216085822037,0.30021260907870284,0.28607322292279774,0.3537496772911857,0.30663931314132764,0.35866737697746515
Synthesis AllFeats X Accel,0.22627662669840887,0.32061060177911926,0.29613233583706955,0.3605123421186659,0.33530746009070056,0.35078809670284905
Synthesis AllFeats Y Accel,0.4511570116406321,0.5073209959781853,0.43237975514268606,0.5433104668856636,0.38594006307522405,0.5339212451492161
Synthesis AllFeats Z Accel,0.4970375916528173,0.5776230389338717,0.5082704041384194,0.5955623067358797,0.4922875834142741,0.5964567392142632
Synthesis AllFeats X Gyro,0.25136924588514054,0.3018891018675957,0.25768453048346895,0.3317313700767676,0.2961328824702698,0.3279877916502872
Synthesis AllFeats Y Gyro,0.26696106769021394,0.3111107571010386,0.275958087914549,0.33469388775059034,0.2848438292374108,0.34693223981704346
Synthesis AllFeats Z Gyro,0.30697421187596546,0.39018679393537015,0.32049852635498266,0.40767852532731225,0.3151328060978027,0.39102461083230217
Synthesis Combined X Accel,0.2534921661996077,0.3640880885345873,0.363809274366292,0.4305354928155999,0.36034410403772954,0.39633371550803076
Synthesis Combined Y Accel,0.4448421487307724,0.5177707329773346,0.4638423847201339,0.5529230117115382,0.40169796766461585,0.56370835025944
Synthesis Combined Z Accel,0.5203421424054454,0.5693530408658295,0.5139711949292429,0.595395240011801,0.48362422809535344,0.5969043537147865
Synthesis Combined X Gyro,0.3156917775902566,0.4039899694369568,0.38124553029745745,0.4585337954414227,0.3387725991830801,0.4511010988732953
Synthesis Combined Y Gyro,0.31049504508240183,0.3733658127162813,0.3394429745217389,0.414105229389937,0.33860493897152677,0.4201962694314436
Synthesis Combined Z Gyro,0.2860177630801125,0.31155684102860126,0.28791767266698126,0.3713531248911614,0.31060751095882433,0.3707948718309136
